shop_name,address,lat,lon
ラーメン二郎 札幌店,北海道札幌市北区北六条西8-8-1,43.067162,141.343063
ラーメン二郎 仙台店,宮城県仙台市青葉区立町2−8,38.26162,140.866196
ラーメン二郎 会津若松駅前店,福島県会津若松市駅前町6−31,37.506386,139.93132
ラーメン二郎 新潟店,新潟県新潟市中央区万代5丁目2-8,37.917233,139.06015
ラーメン二郎 ひたちなか店,茨城県ひたちなか市田彦1648-4,36.409092,140.514603
ラーメン二郎 栃木街道店,栃木県下都賀郡壬生町本丸2丁目15−67,36.422985,139.7948
ラーメン二郎前橋千代田町店,群馬県前橋市千代田町4丁目12−3,36.392548,139.070999
ラーメン二郎 千葉店,千葉県千葉市中央区中央1丁目7-8,35.610481,140.123581
ラーメン二郎 松戸駅前店,千葉県松戸市本町17−9,35.785427,139.899033
ラーメン二郎 京成大久保店,千葉県船橋市三山2-1-11,35.691578,140.049591
ラーメン二郎 柏店,千葉県柏市十余二249-5,35.881977,139.957626
ラーメン二郎 横浜関内店,神奈川県横浜市中区長者町6-94,35.442196,139.63089
ラーメン二郎 中山駅前店,神奈川県横浜市緑区台村町309−1,35.51297,139.538147
ラーメン二郎 京急川崎店,神奈川県川崎市川崎区本町2-10-1,35.534908,139.705704
ラーメン二郎 相模大野店,神奈川県相模原市南区相模大野6-14-9 MKプラザⅡ 103号,35.529911,139.432846
ラーメン二郎 湘南藤沢店,神奈川県藤沢市本町1丁目10-14,35.342964,139.482269
ラーメン二郎 生田駅前店,神奈川県川崎市多摩区生田8-1-15,35.615597,139.546448
ラーメン二郎 三田本店,東京都港区三田2-16-4,35.648045,139.741516
ラーメン二郎 神田神保町店,東京都千代田区神田神保町1-21-4,35.69529,139.761002
ラーメン二郎 池袋東口店,東京都豊島区南池袋2-27-17,35.728195,139.713913
ラーメン二郎 新宿歌舞伎町店,東京都新宿区歌舞伎町2-37-5 日新ビル1階,35.696198,139.701874
ラーメン二郎 新宿小滝橋通り店,東京都新宿区西新宿7-5-5,35.696323,139.698318
ラーメン二郎 上野毛店,東京都世田谷区上野毛1-26-16,35.612442,139.639023
ラーメン二郎 環七新新代田店,東京都世田谷区代田5-29-5,35.661949,139.660385
ラーメン二郎 目黒店,東京都目黒区目黒3-7-2,35.634285,139.707077
ラーメン二郎 品川店,東京都品川区北品川1-18-5,35.623974,139.742966
ラーメン二郎 西台駅前店,東京都板橋区蓮根3-9-7,35.7869,139.674423
ラーメン二郎 桜台駅前店,東京都練馬区桜台1-5-1,35.738781,139.661301
ラーメン二郎 ひばりヶ丘駅前店,東京都西東京市谷戸町3-27-24 ひばりヶ丘プラザ1F,35.749908,139.543793
ラーメン二郎 千住大橋駅前店,東京都足立区千住橋戸町 10-8,35.742706,139.796906
ラーメン二郎 亀戸店,東京都江東区亀戸4-35-17 エレガントコーポラス101号,35.701885,139.826706
ラーメン二郎 小岩店,東京都江戸川区西小岩3-31-13,35.734898,139.880005
ラーメン二郎 環七一之江店,東京都江戸川区一之江8-3-4,35.684071,139.881927
ラーメン二郎 荻窪店,東京都杉並区荻窪4-33-1,35.703602,139.626282
ラーメン二郎 仙川店,東京都調布市仙川町1-10-17,35.661385,139.583847
ラーメン二郎 府中店,東京都府中市宮西町1-15-5 関野屋ビル1F,35.672115,139.477158
ラーメン二郎 立川店,東京都立川市柴崎町2-10-1,35.696507,139.409515
ラーメン二郎 八王子野猿街道店2,東京都八王子市堀之内2-13-16,35.62962,139.40126
ラーメン二郎 めじろ台店,東京都八王子市椚田町513-9,35.638947,139.312744
ラーメン二郎 一橋学園店,東京都小平市学園西町2-13-4,35.722313,139.479294
ラーメン二郎大宮公園駅前店,埼玉県さいたま市大宮区寿能町1-25-1,35.921692,139.632248
ラーメン二郎 川越店,埼玉県川越市旭町1-4-15,35.90274,139.476166
ラーメン二郎 越谷店,埼玉県越谷市越ヶ谷2-3-7,35.890182,139.787659
ラーメン二郎 京都店,京都府京都市左京区一乗寺里ノ前町4番,35.043465,135.787445
